Локальный идентификатор записи,Идентификатор владельца стены,Типы вложений,Ссылка,Ссылка на профиль,Дата
19742,-23801213,"photo, link, ",http://bit.ly/absentiatv,https://vk.com/id-23801213,2017-09-25
1011,332921508,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id332921508,2017-09-25
10254,66551782,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id66551782,2017-09-25
278,366583891,"photo, ",nil,https://vk.com/id366583891,2017-09-24
1535,6781513,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id6781513,2017-09-24
86,64204085,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id64204085,2017-09-24
2041,260203542,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id260203542,2017-09-24
191,211539578,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id211539578,2017-09-24
2446,122857319,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id122857319,2017-09-24
2040,13803497,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id13803497,2017-09-24
10573,32250226,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id32250226,2017-09-24
383,237859038,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id237859038,2017-09-24
3593,14203228,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id14203228,2017-09-24
387,186590358,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id186590358,2017-09-24
9272,113579021,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id113579021,2017-09-24
1381,298420246,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id298420246,2017-09-24
33,421370378,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id421370378,2017-09-24
2738,279483680,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id279483680,2017-09-23
1555,22801965,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id22801965,2017-09-23
2290,142987948,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id142987948,2017-09-23
19670,-23801213,nil,nil,https://vk.com/id-23801213,2017-09-23
66,349761650,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id349761650,2017-09-23
171056,-15106510,"link, ",https://vk.com/app5671337_-23801213,https://vk.com/id-15106510,2017-09-23
71,407392871,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id407392871,2017-09-23
9417,62115009,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id62115009,2017-09-23
2038,96474368,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id96474368,2017-09-22
42,402021946,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id402021946,2017-09-22
71,321127748,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id321127748,2017-09-22
19665,-23801213,"photo, ",nil,https://vk.com/id-23801213,2017-09-22
804,20232844,"link, ",https://vk.com/app5671337_-23801213#282926,https://vk.com/id20232844,2017-09-22
